,Country,Abbr,Internet_Use_Perc_2011,Internet_Use_Perc_2012,Internet_Use_Perc_2013,Internet_Use_Perc_2014,Internet_Use_Perc_2015,Internet_Use_Perc_2016,Internet_Use_Perc_2017,Internet_Use_Perc_2018,Internet_Use_Perc_2019,IncomeGroup,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019
25,Botswana,BWA,9.0,16.0,30.0,36.7,37.3,39.4,41.4,58.0,61.0,Upper middle income,2015406.0,2039551.0,2062551.0,2088619.0,2120716.0,2159925.0,2205076.0,2254067.0,2303703.0,6.0,4.5,11.3,4.1,-5.7,7.0,4.0,4.0,3.0
26,Brazil,BRA,45.7,48.6,51.0,54.6,58.3,60.9,67.5,70.4,73.9,Upper middle income,197514541.0,199287292.0,201035904.0,202763744.0,204471759.0,206163056.0,207833825.0,209469320.0,211049519.0,4.0,1.9,3.0,0.5,-3.5,-3.3,1.3,1.8,1.4
28,Brunei Darussalam,BRN,56.0,60.3,64.5,68.8,71.2,90.0,94.9,95.0,95.0,High income,393687.0,398997.0,404414.0,409778.0,414914.0,419791.0,424481.0,428960.0,433296.0,3.7,0.9,-2.1,-2.5,-0.4,-2.5,1.3,0.1,3.9
29,Bulgaria,BGR,48.0,51.9,53.1,55.5,56.7,59.8,63.4,64.8,67.9,Upper middle income,7348328.0,7305888.0,7265115.0,7223938.0,7177991.0,7127822.0,7075947.0,7025037.0,6975761.0,2.1,0.8,-0.6,1.0,3.4,3.0,2.8,2.7,4.0
30,Burkina Faso,BFA,3.0,3.7,5.0,6.0,7.0,9.0,12.0,14.0,18.0,Low income,16081915.0,16571252.0,17072791.0,17586029.0,18110616.0,18646350.0,19193236.0,19751466.0,20321383.0,6.6,6.5,5.8,4.3,3.9,6.0,6.2,6.6,5.7
31,Burundi,BDI,1.1,1.2,1.3,1.4,2.1,2.4,2.7,5.0,5.2,Low income,8958406.0,9245992.0,9540302.0,9844301.0,10160034.0,10488002.0,10827010.0,11175379.0,11530577.0,4.0,4.4,4.9,4.2,-3.9,-0.6,0.5,1.6,1.8
32,Cabo Verde,CPV,32.0,34.7,37.5,40.3,42.7,50.3,57.2,59.5,61.9,Lower middle income,498858.0,505241.0,511740.0,518276.0,524740.0,531140.0,537499.0,543764.0,549936.0,4.0,1.1,0.8,0.6,1.0,4.7,3.7,4.5,5.7
33,Cambodia,KHM,3.1,4.9,6.0,14.0,18.0,32.4,32.9,65.0,78.3,Lower middle income,14541421.0,14780454.0,15026330.0,15274506.0,15521435.0,15766290.0,16009413.0,16249795.0,16486542.0,7.1,7.3,7.4,7.1,7.0,6.9,7.0,7.5,7.1
34,Cameroon,CMR,5.0,7.5,10.0,16.2,18.3,20.6,23.2,29.7,33.5,Lower middle income,20906392.0,21485267.0,22077300.0,22681853.0,23298376.0,23926549.0,24566070.0,25216261.0,25876387.0,3.4,4.6,5.0,5.7,5.7,4.5,3.5,4.0,3.5
35,Canada,CAN,83.0,83.0,85.8,87.1,90.0,91.2,92.7,94.6,96.5,High income,34339328.0,34714222.0,35082954.0,35437435.0,35702908.0,36109487.0,36545295.0,37065178.0,37593384.0,3.1,1.8,2.3,2.9,0.7,1.0,3.0,2.8,1.9
38,Chad,TCD,1.9,2.1,2.5,2.9,3.5,5.0,6.5,8.0,9.8,Low income,12360986.0,12784748.0,13220433.0,13663562.0,14110971.0,14561658.0,15016761.0,15477727.0,15946882.0,0.1,8.9,5.7,6.9,2.8,-6.3,-3.0,2.4,3.2
41,China,CHN,38.3,42.3,45.8,47.9,50.3,53.2,54.3,59.2,64.6,Upper middle income,1345035000.0,1354190000.0,1363240000.0,1371860000.0,1379860000.0,1387790000.0,1396215000.0,1402760000.0,1407745000.0,9.6,7.9,7.8,7.4,7.0,6.8,6.9,6.7,5.9
42,Colombia,COL,40.4,49.0,51.7,52.6,55.9,58.1,62.3,64.1,65.0,Upper middle income,45662747.0,46075721.0,46495492.0,46967706.0,47520667.0,48175048.0,48909844.0,49661056.0,50339443.0,6.9,3.9,5.1,4.5,3.0,2.1,1.4,2.6,3.3
44,"Congo, Dem. Rep.",COD,1.2,1.7,2.2,3.0,3.8,6.2,8.6,11.7,12.5,Low income,66755151.0,69020749.0,71358804.0,73767445.0,76244532.0,78789130.0,81398765.0,84068092.0,86790568.0,6.9,7.1,8.5,9.5,6.9,2.4,3.7,5.8,4.4
46,Costa Rica,CRI,39.2,47.5,46.0,53.0,59.8,65.9,71.6,73.5,81.2,Upper middle income,4633086.0,4688003.0,4742111.0,4795390.0,4847805.0,4899336.0,4949955.0,4999443.0,5047561.0,4.4,4.9,2.5,3.5,3.7,4.2,4.2,2.6,2.3
48,Croatia,HRV,57.8,61.9,66.7,68.6,69.8,72.7,67.1,75.3,79.1,High income,4280622.0,4267558.0,4255689.0,4238389.0,4203604.0,4174349.0,4124531.0,4087843.0,4065253.0,-0.1,-2.3,-0.4,-0.3,2.5,3.5,3.4,2.9,3.5
49,Cuba,CUB,16.0,21.2,27.9,29.1,37.3,43.0,57.1,62.7,68.0,Upper middle income,11236671.0,11257112.0,11282722.0,11306909.0,11324777.0,11335108.0,11339255.0,11338146.0,11333484.0,2.8,3.0,2.7,1.0,4.4,0.5,1.8,2.2,-0.2
51,Cyprus,CYP,56.9,60.7,65.5,69.3,71.7,75.9,80.7,84.4,86.1,High income,1124837.0,1135046.0,1143866.0,1152297.0,1160987.0,1170189.0,1179685.0,1189262.0,1198574.0,0.4,-3.4,-6.6,-1.8,3.4,6.5,5.9,5.7,5.3
52,Czech Republic,CZE,70.5,73.4,74.1,74.2,75.7,76.5,78.7,80.7,80.9,High income,10496088.0,10510785.0,10514272.0,10525347.0,10546059.0,10566332.0,10594438.0,10629928.0,10671870.0,1.8,-0.8,-0.0,2.3,5.4,2.5,5.2,3.2,3.0
53,Denmark,DNK,89.8,92.3,94.6,96.0,96.3,97.0,97.1,97.3,98.0,High income,5570572.0,5591572.0,5614932.0,5643475.0,5683483.0,5728010.0,5764980.0,5793636.0,5814422.0,1.3,0.2,0.9,1.6,2.3,3.2,2.8,2.0,2.1
56,Dominican Republic,DOM,38.0,42.3,45.9,49.6,54.2,63.9,67.6,74.8,75.8,Upper middle income,9813219.0,9930916.0,10048226.0,10165182.0,10281675.0,10397738.0,10513111.0,10627147.0,10738957.0,3.1,2.7,4.9,7.1,6.9,6.7,4.7,7.0,5.1
58,"Egypt, Arab Rep.",EGY,25.6,26.4,29.4,33.9,37.8,41.2,45.0,46.9,57.3,Lower middle income,84529251.0,86422240.0,88404652.0,90424668.0,92442549.0,94447071.0,96442590.0,98423602.0,100388076.0,1.8,2.2,2.2,2.9,4.4,4.3,4.2,5.3,5.6
59,El Salvador,SLV,18.9,20.3,23.1,24.8,26.8,29.0,33.8,43.8,50.5,Lower middle income,6210567.0,6237922.0,6266076.0,6295124.0,6325121.0,6356137.0,6388124.0,6420740.0,6453550.0,3.8,2.8,2.2,1.7,2.4,2.5,2.2,2.4,2.4
62,Estonia,EST,76.5,78.4,80.0,84.2,88.4,87.2,88.1,89.4,90.2,High income,1327439.0,1322696.0,1317997.0,1314545.0,1315407.0,1315790.0,1317384.0,1321977.0,1326898.0,7.3,3.2,1.5,3.0,1.9,3.2,5.8,4.1,4.1
64,Ethiopia,ETH,1.1,2.9,4.6,7.7,13.9,15.4,18.6,22.0,25.0,Low income,90139928.0,92726982.0,95385793.0,98094264.0,100835453.0,103603461.0,106399926.0,109224410.0,112078727.0,11.2,8.6,10.6,10.3,10.4,9.4,9.6,6.8,8.4
67,Finland,FIN,88.7,89.9,91.5,86.5,86.4,87.7,87.5,88.9,89.6,High income,5388272.0,5413971.0,5438972.0,5461512.0,5479531.0,5495303.0,5508214.0,5515525.0,5521606.0,2.5,-1.4,-0.9,-0.4,0.5,2.8,3.2,1.1,1.2
68,France,FRA,77.8,81.4,81.9,83.8,78.0,79.3,80.5,82.0,83.3,High income,65342789.0,65659814.0,65998685.0,66312067.0,66548272.0,66724104.0,66918020.0,67101930.0,67248926.0,2.2,0.3,0.6,1.0,1.1,1.1,2.3,1.9,1.8
70,Gabon,GAB,18.0,24.0,30.5,38.1,45.8,48.1,50.3,59.6,61.0,Upper middle income,1684629.0,1749677.0,1817070.0,1883801.0,1947690.0,2007882.0,2064812.0,2119275.0,2172578.0,7.1,5.3,5.6,4.3,3.9,2.1,0.5,0.8,3.9
71,"Gambia, The",GMB,10.9,12.4,14.0,15.6,19.7,25.0,32.0,40.0,51.0,Low income,1848142.0,1905020.0,1963708.0,2024037.0,2085860.0,2149134.0,2213900.0,2280092.0,2347696.0,-8.1,5.2,2.9,-1.4,4.1,1.9,4.8,7.2,6.2
72,Georgia,GEO,31.5,36.9,43.3,44.0,47.6,58.5,59.7,62.7,68.8,Upper middle income,3756441.0,3728874.0,3717668.0,3719414.0,3725276.0,3727505.0,3728004.0,3726549.0,3720161.0,7.4,6.4,3.6,4.4,3.0,2.9,4.8,4.8,5.0
73,Germany,DEU,81.3,82.3,84.2,86.2,87.6,84.2,84.4,87.0,88.1,High income,80274983.0,80425823.0,80645605.0,80982500.0,81686611.0,82348669.0,82657002.0,82905782.0,83092962.0,3.9,0.4,0.4,2.2,1.5,2.2,2.7,1.1,1.1
74,Ghana,GHA,9.0,10.6,15.0,19.0,23.0,28.0,37.9,43.0,53.0,Lower middle income,25387713.0,25996454.0,26607641.0,27224480.0,27849203.0,28481947.0,29121464.0,29767108.0,30417858.0,14.0,9.3,7.3,2.9,2.1,3.4,8.1,6.2,6.5
76,Greece,GRC,51.6,55.1,59.9,63.2,66.8,69.1,69.9,72.2,75.7,High income,11104899.0,11045011.0,10965211.0,10892413.0,10820883.0,10775971.0,10754679.0,10732882.0,10721582.0,-10.1,-7.1,-2.5,0.5,-0.2,-0.5,1.1,1.7,1.8
81,Guinea,GIN,2.0,3.1,4.5,6.4,8.2,9.8,11.4,21.8,23.0,Low income,10420459.0,10652032.0,10892821.0,11150970.0,11432096.0,11738434.0,12067516.0,12414292.0,12771246.0,5.6,5.9,3.9,3.7,3.8,10.8,10.3,6.4,5.6
84,Haiti,HTI,9.0,9.8,10.6,11.4,12.2,12.2,31.0,32.5,32.5,Lower middle income,10100320.0,10250922.0,10400672.0,10549007.0,10695540.0,10839976.0,10982367.0,11123183.0,11263079.0,5.1,0.5,4.3,1.7,2.6,1.8,2.5,1.7,-1.7
86,"Hong Kong SAR, China",HKG,72.2,72.9,74.2,79.9,84.9,87.5,89.4,90.5,91.7,High income,7071600.0,7150100.0,7178900.0,7229500.0,7291300.0,7336600.0,7391700.0,7451000.0,7507400.0,4.8,1.7,3.1,2.8,2.4,2.2,3.8,2.8,-1.7
87,Hungary,HUN,68.0,70.6,72.6,75.7,72.8,79.3,76.8,76.1,80.4,High income,9971727.0,9920362.0,9893082.0,9866468.0,9843028.0,9814023.0,9787966.0,9775564.0,9771141.0,1.9,-1.3,1.8,4.2,3.7,2.2,4.3,5.4,4.6
88,Iceland,ISL,94.8,96.2,96.5,98.2,98.2,98.2,98.3,99.0,99.0,High income,319014.0,320716.0,323764.0,327386.0,330815.0,335439.0,343400.0,352721.0,360563.0,1.8,1.1,4.6,1.7,4.4,6.3,4.2,4.9,2.4
89,India,IND,10.1,11.1,12.3,13.5,14.9,16.5,18.2,20.1,41.0,Lower middle income,1250287939.0,1265780243.0,1280842119.0,1295600768.0,1310152392.0,1324517250.0,1338676779.0,1352642283.0,1366417756.0,5.2,5.5,6.4,7.4,8.0,8.3,6.8,6.5,4.0
90,Indonesia,IDN,12.3,14.5,14.9,17.1,22.1,25.4,32.3,39.9,47.7,Lower middle income,245115988.0,248451714.0,251805314.0,255128076.0,258383257.0,261556386.0,264650969.0,267670549.0,270625567.0,6.2,6.0,5.6,5.0,4.9,5.0,5.1,5.2,5.0
91,"Iran, Islamic Rep.",IRN,19.0,22.7,30.0,39.4,45.3,53.2,64.0,70.2,77.8,Lower middle income,74634959.0,75539881.0,76481963.0,77465769.0,78492208.0,79563991.0,80673888.0,81800204.0,82913893.0,2.6,-7.4,-0.2,4.6,-1.3,13.4,3.8,-6.0,-6.8
93,Ireland,IRL,74.9,76.9,78.2,83.5,83.5,83.5,84.1,87.0,87.0,High income,4580084.0,4599533.0,4623816.0,4657740.0,4701957.0,4755335.0,4807388.0,4867316.0,4934340.0,1.1,-0.1,1.3,8.7,25.2,2.0,8.9,9.0,4.9
95,Israel,ISR,68.9,70.8,70.3,75.0,77.4,79.7,81.6,83.7,86.8,High income,7765800.0,7910500.0,8059500.0,8215700.0,8380100.0,8546000.0,8713300.0,8882800.0,9054000.0,5.5,2.8,4.8,4.1,2.3,4.5,4.4,4.0,3.8
96,Italy,ITA,54.4,55.8,58.5,55.6,58.1,61.3,63.1,74.4,76.1,High income,59379449.0,59539717.0,60233948.0,60789140.0,60730582.0,60627498.0,60536709.0,60421760.0,59729081.0,0.7,-3.0,-1.8,-0.0,0.8,1.3,1.7,0.9,0.4
98,Japan,JPN,79.1,79.5,88.2,89.1,91.1,93.2,91.7,91.3,92.7,High income,127833000.0,127629000.0,127445000.0,127276000.0,127141000.0,126994511.0,126785797.0,126529100.0,126264931.0,0.0,1.4,2.0,0.3,1.6,0.8,1.7,0.6,0.3
100,Kazakhstan,KAZ,50.6,61.9,63.3,66.0,70.8,74.6,76.4,78.9,81.9,Upper middle income,16557202.0,16792090.0,17035551.0,17288285.0,17542806.0,17794055.0,18037776.0,18276452.0,18513673.0,7.4,4.8,6.0,4.2,1.2,1.1,4.1,4.1,4.5
101,Kenya,KEN,8.8,10.5,13.0,16.5,16.6,16.6,17.8,19.5,22.6,Lower middle income,43178270.0,44343469.0,45519986.0,46700063.0,47878339.0,49051531.0,50221146.0,51392570.0,52573967.0,5.1,4.6,3.8,5.0,5.0,4.2,3.8,5.6,5.0
104,"Korea, Rep.",KOR,83.8,84.1,84.8,87.6,89.9,92.8,95.1,96.0,96.2,High income,49936638.0,50199853.0,50428893.0,50746659.0,51014947.0,51217803.0,51361911.0,51606633.0,51709098.0,3.7,2.4,3.2,3.2,2.8,2.9,3.2,2.9,2.2
106,Kuwait,KWT,65.8,70.4,75.5,78.7,78.0,78.4,98.0,99.6,99.5,High income,3168054.0,3348852.0,3526382.0,3690939.0,3835588.0,3956862.0,4056102.0,4137314.0,4207077.0,9.6,6.6,1.1,0.5,0.6,2.9,-4.7,1.2,0.4
109,Latvia,LVA,69.7,73.1,75.2,75.8,79.2,79.8,80.1,83.6,86.1,High income,2059709.0,2034319.0,2012647.0,1993782.0,1977527.0,1959537.0,1942248.0,1927174.0,1913822.0,2.6,7.0,2.0,1.9,3.9,2.4,3.3,4.0,2.5
111,Lesotho,LSO,7.0,10.0,15.0,22.0,25.0,32.5,39.0,40.8,42.3,Lower middle income,2003793.0,2014988.0,2028528.0,2043448.0,2059011.0,2075041.0,2091532.0,2108327.0,2125267.0,4.6,6.3,1.8,1.7,3.1,3.6,-3.1,-1.2,-0.4
112,Liberia,LBR,2.5,2.6,3.2,5.4,10.0,15.7,16.3,18.9,22.0,Low income,4017446.0,4135662.0,4248337.0,4359508.0,4472229.0,4586788.0,4702224.0,4818976.0,4937374.0,8.2,8.0,8.7,0.7,-0.0,-1.6,2.5,1.2,-2.5
115,Lithuania,LTU,63.6,67.2,68.5,72.1,71.4,74.4,77.6,79.7,81.6,High income,3028115.0,2987773.0,2957689.0,2932367.0,2904910.0,2868231.0,2828403.0,2801543.0,2794137.0,6.0,3.8,3.6,3.5,2.0,2.5,4.3,4.0,4.6
116,Luxembourg,LUX,90.0,91.9,93.8,94.7,96.4,98.1,97.4,97.1,97.1,High income,518347.0,530946.0,543360.0,556319.0,569604.0,582014.0,596336.0,607950.0,620001.0,1.0,1.6,3.2,2.6,2.3,5.0,1.3,2.0,3.3
117,"Macao SAR, China",MAC,60.2,61.3,65.8,69.8,77.6,81.6,83.2,83.8,86.5,High income,550833.0,564037.0,577368.0,590210.0,602093.0,612824.0,622578.0,631633.0,640446.0,21.6,9.2,10.8,-2.0,-21.5,-0.7,10.0,6.5,-2.5
119,Malawi,MWI,3.3,4.4,5.0,5.8,7.6,8.0,13.8,13.9,15.5,Low income,14962118.0,15396010.0,15839287.0,16289550.0,16745305.0,17205253.0,17670193.0,18143215.0,18628749.0,4.9,1.9,5.2,5.7,2.8,2.5,4.0,4.4,5.4
120,Malaysia,MYS,61.0,65.8,57.1,63.7,71.1,78.8,80.1,81.2,84.2,Upper middle income,28650962.0,29068189.0,29468923.0,29866606.0,30270965.0,30684652.0,31104655.0,31528033.0,31949789.0,5.3,5.5,4.7,6.0,5.1,4.4,5.8,4.8,4.4
122,Mali,MLI,2.2,2.8,3.5,7.0,10.3,11.1,15.6,23.0,26.0,Low income,15514593.0,15979492.0,16449854.0,16934213.0,17438772.0,17965448.0,18512429.0,19077755.0,19658023.0,3.2,-0.8,2.3,7.1,6.2,5.9,5.3,4.7,4.8
123,Malta,MLT,68.0,68.2,68.9,73.2,76.0,78.1,81.0,81.7,85.8,High income,416268.0,420028.0,425967.0,434558.0,445053.0,455356.0,467999.0,484630.0,504062.0,0.5,4.1,5.5,7.6,9.6,4.1,8.1,5.2,5.5
126,Mauritius,MUS,35.0,35.4,40.1,44.8,50.1,52.2,55.4,58.6,61.7,Upper middle income,1252404.0,1255882.0,1258653.0,1260934.0,1262605.0,1263473.0,1264613.0,1265303.0,1265711.0,4.1,3.5,3.4,3.7,3.6,3.8,3.8,3.8,3.0
127,Mexico,MEX,37.2,39.8,43.5,44.4,57.4,59.5,63.9,65.8,70.1,Upper middle income,115695468.0,117274156.0,118827158.0,120355137.0,121858251.0,123333379.0,124777326.0,126190782.0,127575529.0,3.7,3.6,1.4,2.8,3.3,2.6,2.1,2.2,-0.2
131,Mongolia,MNG,12.5,16.4,17.7,19.9,22.5,22.3,23.7,47.1,51.1,Lower middle income,2770357.0,2824698.0,2881783.0,2940111.0,2998433.0,3056358.0,3113788.0,3170214.0,3225166.0,17.3,12.3,11.6,7.9,2.4,1.5,5.6,7.7,5.6
132,Montenegro,MNE,35.6,56.8,60.3,61.0,68.1,69.9,71.3,71.5,73.5,Upper middle income,620079.0,620601.0,621207.0,621810.0,622159.0,622303.0,622373.0,622227.0,622028.0,3.2,-2.7,3.5,1.8,3.4,2.9,4.7,5.1,4.1
133,Morocco,MAR,46.1,55.4,56.0,56.8,57.1,58.3,61.8,64.8,74.4,Lower middle income,32781860.0,33241898.0,33715705.0,34192358.0,34663608.0,35126274.0,35581257.0,36029089.0,36471766.0,5.2,3.0,4.5,2.7,4.5,1.1,4.3,3.1,2.6
134,Mozambique,MOZ,4.6,5.0,5.5,6.0,6.5,7.0,7.8,10.4,15.1,Low income,24187500.0,24862673.0,25560752.0,26286192.0,27042001.0,27829930.0,28649007.0,29496009.0,30366043.0,7.4,7.3,7.0,7.4,6.7,3.8,3.7,3.4,2.3
136,Namibia,NAM,12.0,12.9,13.9,14.8,25.7,31.0,36.8,40.0,40.5,Upper middle income,2156698.0,2194777.0,2233506.0,2273426.0,2314901.0,2358044.0,2402623.0,2448300.0,2494524.0,5.1,5.1,5.6,6.1,4.3,0.0,-1.0,1.1,-0.9
139,Netherlands,NLD,91.4,92.9,94.0,91.7,91.7,90.4,93.2,91.9,93.3,High income,16693074.0,16754962.0,16804432.0,16865008.0,16939923.0,17030314.0,17131296.0,17231624.0,17344874.0,1.6,-1.0,-0.1,1.4,2.0,2.2,2.9,2.4,2.0
144,Nigeria,NGA,13.8,16.1,19.1,21.0,24.5,25.7,28.0,31.9,33.6,Lower middle income,162805080.0,167228803.0,171765819.0,176404931.0,181137454.0,185960244.0,190873247.0,195874685.0,200963603.0,5.3,4.2,6.7,6.3,2.7,-1.6,0.8,1.9,2.2
145,North Macedonia,MKD,56.7,57.4,65.2,68.1,70.4,72.2,74.5,79.2,81.4,Upper middle income,2058539.0,2061044.0,2064032.0,2067471.0,2070226.0,2072490.0,2074502.0,2076217.0,2076694.0,2.3,-0.5,2.9,3.6,3.9,2.8,1.1,2.9,3.9
147,Norway,NOR,93.5,94.6,95.1,96.3,96.8,97.3,96.4,96.5,98.0,High income,4953088.0,5018573.0,5079623.0,5137232.0,5188607.0,5234519.0,5276968.0,5311916.0,5347896.0,1.0,2.7,1.0,2.0,2.0,1.1,2.3,1.1,0.7
148,Oman,OMN,48.0,60.0,66.4,70.2,73.5,76.8,80.2,85.5,90.3,High income,3251102.0,3498031.0,3764805.0,4027255.0,4267341.0,4479217.0,4665926.0,4829476.0,4974992.0,2.9,8.9,5.2,1.3,5.0,5.0,0.3,1.3,-1.1
149,Pakistan,PAK,8.0,8.1,9.0,10.0,11.0,12.4,13.8,15.3,17.1,Lower middle income,183340168.0,187280125.0,191260799.0,195305012.0,199426953.0,203631356.0,207906210.0,212228288.0,216565317.0,2.7,3.5,4.4,4.7,4.7,5.5,5.6,5.8,1.1
151,Panama,PAN,42.7,40.3,44.0,44.9,51.2,54.0,60.0,61.8,63.6,Upper middle income,3706479.0,3770635.0,3835447.0,3901311.0,3968490.0,4037073.0,4106764.0,4176868.0,4246440.0,11.3,9.8,6.9,5.1,5.7,5.0,5.6,3.7,3.0
153,Paraguay,PRY,24.8,29.3,36.9,43.0,49.7,53.4,61.1,65.0,68.5,Upper middle income,6333981.0,6421510.0,6510273.0,6599524.0,6688746.0,6777878.0,6867058.0,6956069.0,7044639.0,4.3,-0.7,8.3,5.3,3.0,4.3,4.8,3.2,-0.4
154,Peru,PER,36.0,38.2,39.2,40.2,40.9,45.5,50.5,55.1,60.0,Upper middle income,29264314.0,29506790.0,29773986.0,30090372.0,30470739.0,30926036.0,31444299.0,31989265.0,32510462.0,6.3,6.1,5.9,2.4,3.3,4.0,2.5,4.0,2.2
156,Poland,POL,61.9,62.3,62.8,66.6,68.0,73.3,76.0,77.5,80.4,High income,38063255.0,38063164.0,38040196.0,38011735.0,37986412.0,37970087.0,37974826.0,37974750.0,37965475.0,4.8,1.3,1.1,3.4,4.2,3.1,4.8,5.4,4.7
157,Portugal,PRT,55.2,60.3,62.1,64.6,68.6,70.4,73.8,74.7,75.3,High income,10557560.0,10514844.0,10457295.0,10401062.0,10358076.0,10325452.0,10300300.0,10283822.0,10286263.0,-1.7,-4.1,-0.9,0.8,1.8,2.0,3.5,2.8,2.7
159,Qatar,QAT,69.0,69.3,85.3,91.5,92.9,95.1,97.4,99.7,99.7,High income,2035862.0,2196078.0,2336579.0,2459202.0,2565708.0,2654379.0,2724727.0,2781682.0,2832071.0,13.4,4.7,5.6,5.3,4.8,3.1,-1.5,1.2,0.7
160,Romania,ROU,40.0,45.9,49.8,54.1,55.8,59.5,63.7,70.7,73.7,Upper middle income,20147528.0,20058035.0,19983693.0,19908979.0,19815616.0,19702267.0,19588715.0,19473970.0,19371648.0,1.9,2.0,3.8,3.6,3.0,4.7,7.3,4.5,4.2
161,Russian Federation,RUS,49.0,63.8,68.0,70.5,70.1,73.1,76.0,80.9,82.6,Upper middle income,142960908.0,143201721.0,143506995.0,143819667.0,144096870.0,144342397.0,144496739.0,144477859.0,144406261.0,4.3,4.0,1.8,0.7,-2.0,0.2,1.8,2.8,2.0
162,Rwanda,RWA,7.0,8.0,9.0,10.6,18.0,20.0,21.8,25.0,26.0,Low income,10293333.0,10549668.0,10811538.0,11083629.0,11369066.0,11668829.0,11980960.0,12301969.0,12626938.0,8.0,8.6,4.7,6.2,8.9,6.0,4.0,8.6,9.5
